板块类型,板块代码,板块名称
同花顺行业,881121,半导体
同花顺行业,881273,白酒
同花顺行业,881131,白色家电
同花顺行业,881156,保险
同花顺行业,881138,包装印刷
同花顺行业,881174,厨卫电器
同花顺行业,881281,电池
同花顺行业,881277,电机
同花顺行业,881145,电力
同花顺行业,881278,电网设备
同花顺行业,881283,多元金融
同花顺行业,881172,电子化学品
同花顺行业,881153,房地产
同花顺行业,881280,风电设备
同花顺行业,881167,非金属材料
同花顺行业,881136,服装家纺
同花顺行业,881135,纺织制造
同花顺行业,881268,工程机械
同花顺行业,881279,光伏设备
同花顺行业,881169,贵金属
同花顺行业,881269,轨交设备
同花顺行业,881148,港口航运
同花顺行业,881149,公路铁路运输
同花顺行业,881112,钢铁
同花顺行业,881122,光学光电子
同花顺行业,881168,工业金属
同花顺行业,881284,环保设备
同花顺行业,881181,环境治理
同花顺行业,881177,互联网电商
同花顺行业,881132,黑色家电
同花顺行业,881264,化学纤维
同花顺行业,881108,化学原料
同花顺行业,881109,化学制品
同花顺行业,881140,化学制药
同花顺行业,881271,IT服务
同花顺行业,881151,机场航运
同花顺行业,881276,军工电子
同花顺行业,881166,军工装备
同花顺行业,881139,家居用品
同花顺行业,881130,计算机设备
同花顺行业,881114,金属新材料
同花顺行业,881178,教育
同花顺行业,881115,建筑材料
同花顺行业,881116,建筑装饰
同花顺行业,881158,零售
同花顺行业,881160,旅游及酒店
同花顺行业,881182,美容护理
同花顺行业,881105,煤炭开采加工
同花顺行业,881159,贸易
同花顺行业,881103,农产品加工
同花顺行业,881263,农化制品
同花顺行业,881267,能源金属
同花顺行业,881128,汽车服务及其他
同花顺行业,881126,汽车零部件
同花顺行业,881125,汽车整车
同花顺行业,881282,其他电源设备
同花顺行业,881123,其他电子
同花顺行业,881179,其他社会服务
同花顺行业,881272,软件开发
同花顺行业,881146,燃气
同花顺行业,881265,塑料制品
同花顺行业,881134,食品加工制造
同花顺行业,881142,生物制品
同花顺行业,881180,石油加工贸易
同花顺行业,881162,通信服务
同花顺行业,881129,通信设备
同花顺行业,881117,通用设备
同花顺行业,881164,文化传媒
同花顺行业,881152,物流
同花顺行业,881124,消费电子
同花顺行业,881173,小家电
同花顺行业,881170,小金属
同花顺行业,881266,橡胶制品
同花顺行业,881270,元件
同花顺行业,881175,医疗服务
同花顺行业,881144,医疗器械
同花顺行业,881133,饮料制造
同花顺行业,881107,油气开采及服务
同花顺行业,881274,影视院线
同花顺行业,881275,游戏
同花顺行业,881155,银行
同花顺行业,881143,医药商业
同花顺行业,881102,养殖业
同花顺行业,881171,自动化设备
同花顺行业,881165,综合
同花顺行业,881157,证券
同花顺行业,881141,中药
同花顺行业,881118,专用设备
同花顺行业,881137,造纸
同花顺行业,881101,种植业与林业
同花顺概念,308614,阿尔茨海默概念
同花顺概念,309121,AI PC
同花顺概念,309120,AI手机
同花顺概念,309126,AI语料
同花顺概念,301558,阿里巴巴概念
同花顺概念,300800,安防
同花顺概念,301496,白酒概念
同花顺概念,309084,BC电池
同花顺概念,301259,百度概念
同花顺概念,305376,丙烯酸
同花顺概念,307550,冰雪产业
同花顺概念,308972,比亚迪概念
同花顺概念,300018,参股保险
同花顺概念,306912,宁德时代概念
同花顺概念,300100,参股券商
同花顺概念,300157,草甘膦
同花顺概念,301270,参股银行
同花顺概念,309094,长安汽车概念
同花顺概念,308432,长三角一体化
同花顺概念,308969,超超临界发电
同花顺概念,309056,超导概念
同花顺概念,300926,超级电容
同花顺概念,306750,超级品牌
同花顺概念,300163,车联网(车路协同)
同花顺概念,309045,成飞概念
同花顺概念,300786,充电桩
同花顺概念,308588,宠物经济
同花顺概念,308822,重组蛋白
同花顺概念,308753,抽水蓄能
同花顺概念,301016,传感器
同花顺概念,300168,创投
同花顺概念,308014,创新药
同花顺概念,306380,储能
同花顺概念,307940,存储芯片
同花顺概念,301123,大豆
同花顺概念,300013,大飞机
同花顺概念,308696,代糖概念
同花顺概念,307816,国家大基金持股
同花顺概念,300733,锂电池概念
同花顺概念,302027,电子竞技
同花顺概念,308869,电子身份证
同花顺概念,309115,低空经济
同花顺概念,308700,第三代半导体
同花顺概念,301623,地下管网
同花顺概念,308477,电力物联网
同花顺概念,307822,动力电池回收
同花顺概念,308828,东数西算(算力)
同花顺概念,308537,动物疫苗
同花顺概念,308366,抖音概念(字节概念)
同花顺概念,309093,短剧游戏
同花顺概念,308002,独角兽概念
同花顺概念,309104,多模态AI
同花顺概念,301135,电子纸
同花顺概念,308803,EDR概念
同花顺概念,309058,ERP概念
